,eventDate,year,month,day,habitat,countryCode,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,hasCoordinate,species,iucnRedListCategory,substrate,latitude,longitude,coorUncert,observationID,region,district,filename,category_id,metaSubstrate,poisonous,elevation,landcover,biogeographicalRegion,filepath,label,is_augmented
11,2020-11-29,2020,11.0,29.0,Thorny scrubland,DK,Cladosporium macrocarpum Preuss,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,macrocarpum,True,Cladosporium macrocarpum,NE,leaf or needle litter,55.700179,12.109011,75.0,3005489305,Sjælland,Roskilde,3-3005489305.JPG,350,plant material,0,11.0,12.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/3-3005489305.JPG,5,False
12,2020-08-24,2020,8.0,24.0,Bog woodland,DK,"Comatricha tenerrima (M.A.Curtis) G.Lister, 1919",Protozoa,Mycetozoa,Myxomycetes,Stemonitidales,Stemonitidaceae,Comatricha,tenerrima,True,Comatricha tenerrima,NE,"stems of herbs, grass etc",55.172097,10.247634,10.0,2851419321,Syddanmark,Faaborg-Midtfyn,4-2851419321.JPG,389,plant material,0,0.0,17.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/4-2851419321.JPG,15,False
13,2018-09-24,2018,9.0,24.0,Willow scrubland,DK,Megalocystidium luridum (Bres.) Jülich,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Gloeocystidiellum,luridum,True,Gloeocystidiellum luridum,NE,dead wood (including bark),55.284089,11.836466,25.0,2238564730,Sjælland,Næstved,1-2238564730.JPG,1369,wood,0,8.0,5.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/1-2238564730.JPG,0,False
14,2021-11-07,2021,11.0,7.0,garden,DK,"Symphytocarpus impexus Ing & Nann.-Bremek., 1967",Protozoa,Mycetozoa,Myxomycetes,Stemonitidales,Stemonitidaceae,Symphytocarpus,impexus,True,Symphytocarpus impexus,NE,dead wood (including bark),55.96711,10.553111,10.0,3410050322,Midtjylland,Samsø,2-3410050322.JPG,2173,wood,0,0.0,17.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/2-3410050322.JPG,15,False
15,2021-05-03,2021,5.0,3.0,park/churchyard,DK,Sphaerographium squarrosum (Riess) Sacc.,Fungi,Ascomycota,Leotiomycetes,Chaetomellales,Chaetomellaceae,Sphaerographium,squarrosum,True,Sphaerographium squarrosum,NE,dead wood (including bark),55.70302,12.563825,25.0,3109987306,Hovedstaden,København,9-3109987306.JPG,2119,wood,0,106.0,5.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/9-3109987306.JPG,12,False
16,2018-11-03,2018,11.0,3.0,natural grassland,DK,Psathyrella pennata (Fr.) A.Pearson & Dennis,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,pennata,True,Psathyrella pennata,NE,fire spot,56.074814,12.403925,50.0,2238577984,Hovedstaden,Gribskov,2-2238577984.JPG,1821,fire spot,0,14.0,12.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/2-2238577984.JPG,0,False
17,2020-05-23,2020,5.0,23.0,Acidic oak woodland,DK,Flavopunctelia flaventior (Stirt.) Hale,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavopunctelia,flaventior,True,Flavopunctelia flaventior,NE,bark of living trees,56.082233,9.281569,15.0,2625337313,Midtjylland,Ikast-Brande,1-2625337313.JPG,874,wood,0,0.0,9.0,atlantic,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/1-2625337313.JPG,11,False
18,2020-08-13,2020,8.0,13.0,salt meadow,DK,Verrucaria polysticta Borrer,Fungi,Ascomycota,Eurotiomycetes,Verrucariales,Verrucariaceae,Verrucaria,polysticta,True,Verrucaria polysticta,NE,calcareous stone,56.29249,10.840372,75.0,2847219303,Midtjylland,Syddjurs,1-2847219303.JPG,2400,stone,0,0.0,17.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/1-2847219303.JPG,7,False
19,2009-09-29,2009,9.0,29.0,Bog woodland,DK,Entoloma bisporigerum (P.D.Orton) Noordel.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,bisporigerum,True,Entoloma caccabus,NE,soil,56.06521,9.72964,5.0,2238363425,Midtjylland,Skanderborg,0-2238363425.JPG,748,jord,0,14.0,12.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/0-2238363425.JPG,0,False
20,2013-11-03,2013,11.0,3.0,salt meadow,DK,"Cystoagaricus populinus (Britzelm.) G.Muñoz, L.A.Parra & J.C.Zamora",Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Cystoagaricus,populinus,True,Cystoagaricus populinus,NE,soil,55.44737,12.19616,2.0,2238355285,Sjælland,Køge,0-2238355285.JPG,633,jord,0,89.0,1.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/0-2238355285.JPG,0,False
21,2020-08-27,2020,8.0,27.0,Bog woodland,DK,Sphacelotheca hydropiperis (Schumach.) de Bary,Fungi,Basidiomycota,Microbotryomycetes,Microbotryales,Microbotryaceae,Sphacelotheca,hydropiperis,True,Sphacelotheca hydropiperis,NE,fruits,55.124281,10.272575,25.0,2851422333,Syddanmark,Faaborg-Midtfyn,0-2851422333.JPG,2117,plant material,0,0.0,17.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/0-2851422333.JPG,13,False
22,2020-02-08,2020,2.0,8.0,garden,DK,Octospora neerlandica Benkert & Brouwer,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Octospora,neerlandica,True,Octospora neerlandica,NE,mosses,55.15308,11.692835,75.0,2575119172,Sjælland,Næstved,4-2575119172.JPG,1526,mosses,0,0.0,17.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/4-2575119172.JPG,18,False
23,2020-03-24,2020,3.0,24.0,Mixed woodland (with coniferous and deciduous trees),DK,Polycephalomyces tomentosus (Schrad.) Seifert,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Polycephalomyces,tomentosus,True,Polycephalomyces tomentosus,NE,mycetozoans,55.050621,10.571534,50.0,2640660301,Syddanmark,Svendborg,7-2640660301.JPG,1786,fungi and mycetozoans,0,0.0,17.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/7-2640660301.JPG,20,False
24,2019-04-06,2019,4.0,6.0,park/churchyard,DK,Phycomyces blakesleeanus Burgeff,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Phycomycetaceae,Phycomyces,blakesleeanus,True,Phycomyces blakesleeanus,NE,soil,55.251925,11.291405,100.0,2237860789,Sjælland,Slagelse,0-2237860789.JPG,1702,jord,0,0.0,17.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/0-2237860789.JPG,14,False
25,2020-11-15,2020,11.0,15.0,park/churchyard,DK,Bacidina adastra (Sparrius & Aptroot) M.Hauck & V.Wirth,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae,Bacidina,adastra,True,Bacidina adastra,NE,bark of living trees,56.168667,10.214592,10.0,2984624371,Midtjylland,Århus,1-2984624371.JPG,168,wood,0,10.0,12.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/1-2984624371.JPG,11,False
26,2021-08-07,2021,8.0,7.0,other habitat,DK,Geastrum campestre Morgan,Fungi,Basidiomycota,Agaricomycetes,Geastrales,Geastraceae,Geastrum,campestre,True,Geastrum campestre,NE,soil,56.000151,12.19218,5.0,3336953398,Hovedstaden,Gribskov,1-3336953398.JPG,898,jord,0,0.0,17.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/1-3336953398.JPG,0,False
27,2014-05-12,2014,5.0,12.0,park/churchyard,DK,Entoloma ventricosum Arnolds & Noordel.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,ventricosum,True,Entoloma ventricosum,NE,soil,55.67417,12.39462,50.0,2238370503,Hovedstaden,Glostrup,1-2238370503.JPG,802,jord,0,100.0,1.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/1-2238370503.JPG,0,False
28,2021-06-07,2021,6.0,7.0,garden,DK,Septoria phlogis Sacc. & Speg.,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Septoria,phlogis,True,Septoria phlogis,NE,living leaves,56.167574,10.164628,10.0,3313870301,Midtjylland,Århus,1-3313870301.JPG,2084,plant material,0,31.0,12.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/1-3313870301.JPG,5,False
29,2018-09-17,2018,9.0,17.0,Deciduous woodland,DK,Pholiotina aeruginosa (Romagn.) M.M.Moser,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe,aeruginosa,True,Conocybe aeruginosa,NE,soil,56.068796,10.256682,10.0,2238562182,Midtjylland,Århus,1-2238562182.JPG,1684,jord,0,15.0,4.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/1-2238562182.JPG,0,False
30,2021-06-19,2021,6.0,19.0,natural grassland,DK,Microbotryum tragopogonis-pratensis (Pers.) R.Bauer & Oberw.,Fungi,Basidiomycota,Microbotryomycetes,Microbotryales,Microbotryaceae,Microbotryum,tragopogonis-pratensis,True,Microbotryum tragopogonis-pratensis,NE,living flowers,55.718633,12.503064,10.0,3305983328,Hovedstaden,København,0-3305983328.JPG,1412,plant material,0,12.0,10.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/0-3305983328.JPG,13,False
31,2021-06-06,2021,6.0,6.0,meadow,DK,Plasmopara crustosa (Fr.) Jørst.,Chromista,Oomycota,Peronosporea,Peronosporales,Peronosporaceae,Peronospora,crustosa,True,Peronospora crustosa,NE,living leaves,56.539485,8.317671,5.0,3131202308,Midtjylland,Lemvig,0-3131202308.JPG,1740,plant material,0,40.0,12.0,atlantic,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/0-3131202308.JPG,17,False
32,2020-10-20,2020,10.0,20.0,coniferous woodland/plantation,DK,Botryobasidium ellipsosporum Hol.-Jech.,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Botryobasidiaceae,Botryobasidium,ellipsosporum,True,Botryobasidium ellipsosporum,NE,dead wood (including bark),57.298383,10.98942,75.0,2898619350,Nordjylland,Læsø,0-2898619350.JPG,192,wood,0,0.0,17.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/0-2898619350.JPG,0,False
33,2020-03-05,2020,3.0,5.0,Acidic oak woodland,DK,Peziza perparva Harmaja,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza,perparva,True,Peziza perparva,NE,soil,56.025047,12.008029,10.0,2575122616,Hovedstaden,Halsnæs,2-2575122616.JPG,1630,jord,0,0.0,17.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/2-2575122616.JPG,18,False
34,2017-09-26,2017,9.0,26.0,Mixed woodland (with coniferous and deciduous trees),DK,"Hebeloma geminatum Beker, Vesterh. & U.Eberh.",Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Hebeloma,geminatum,True,Hebeloma geminatum,NE,soil,55.376697,9.928049,25.0,2238515570,Syddanmark,Middelfart,0-2238515570.JPG,961,jord,0,0.0,17.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/0-2238515570.JPG,0,False
35,2013-10-07,2013,10.0,7.0,Unmanaged deciduous woodland,DK,Cortinarius maculatocaespitosus Bidaud,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,maculatocaespitosus,True,Cortinarius maculatocaespitosus,NE,soil,56.12165,10.21415,10.0,2238343667,Midtjylland,Århus,1-2238343667.JPG,513,jord,0,15.0,10.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/1-2238343667.JPG,0,False
36,2020-11-08,2020,11.0,8.0,natural grassland,DK,"Comatricha tenerrima (M.A.Curtis) G.Lister, 1919",Protozoa,Mycetozoa,Myxomycetes,Stemonitidales,Stemonitidaceae,Comatricha,tenerrima,True,Comatricha tenerrima,NE,"dead stems of herbs, grass etc",56.992392,9.292546,10.0,2981237333,Nordjylland,Vesthimmerland,0-2981237333.JPG,389,plant material,0,69.0,1.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/0-2981237333.JPG,15,False
37,2021-01-03,2021,1.0,3.0,Deciduous woodland,DK,Orbilia comma Graddon,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,comma,True,Orbilia comma,NE,dead wood (including bark),55.747714,12.575992,15.0,3014637337,Hovedstaden,Gentofte,1-3014637337.JPG,1549,wood,0,107.0,8.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/1-3014637337.JPG,16,False
38,2011-07-14,2011,7.0,14.0,dune,DK,Tranzscheliella hypodytes (Schltdl.) Vánky & McKenzie,Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Tranzscheliella,hypodytes,True,Tranzscheliella hypodytes,NE,"stems of herbs, grass etc",55.94242,11.86438,50.0,2237960868,Hovedstaden,Halsnæs,1-2237960868.JPG,2239,plant material,0,0.0,17.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/1-2237960868.JPG,23,False
39,2021-10-19,2021,10.0,19.0,Mixed woodland (with coniferous and deciduous trees),DK,Cortinarius acutispissipes Rob.Henry,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,acutispissipes,True,Cortinarius acutispissipes,NE,soil,56.086069,9.309135,50.0,3395912304,Midtjylland,Ikast-Brande,0-3395912304.JPG,447,jord,0,13.0,12.0,atlantic,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/0-3395912304.JPG,0,False
40,2021-07-16,2021,7.0,16.0,park/churchyard,DK,Russula anatina Romagn.,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,anatina,True,Russula anatina,NE,soil,55.783101,12.591684,5.0,3327297305,Hovedstaden,Lyngby-Taarbæk,1-3327297305.JPG,1998,jord,0,57.0,5.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/1-3327297305.JPG,0,False
41,2021-05-06,2021,5.0,6.0,other habitat,DK,"Scytinium schraderi (Ach.) Otálora, P.M.Jørg. & Wedin",Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Collemataceae,Scytinium,schraderi,True,Scytinium schraderi,NE,soil,56.186398,10.190754,5.0,3116988305,Midtjylland,Århus,5-3116988305.JPG,2069,jord,0,7.0,9.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/5-3116988305.JPG,11,False
42,2018-09-30,2018,9.0,30.0,Mixed woodland (with coniferous and deciduous trees),DK,Phyllactinia betulae (DC.) Fuss,Fungi,Ascomycota,Leotiomycetes,Helotiales,Erysiphaceae,Phyllactinia,betulae,True,Phyllactinia guttata,NE,living leaves,56.010738,12.001456,50.0,2238568277,Hovedstaden,Halsnæs,3-2238568277.JPG,1704,plant material,0,0.0,17.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/3-2238568277.JPG,12,False
43,2011-07-19,2011,7.0,19.0,natural grassland,DK,"Entoloma minutigranulosum O.V.Morozova, Noordel., Brandrud & Dima",Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,minutigranulosum,True,Entoloma minutigranulosum,NE,soil,56.93297,10.23812,50.0,2237966870,Nordjylland,Aalborg,1-2237966870.JPG,775,jord,0,0.0,17.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/1-2237966870.JPG,0,False
44,2021-07-03,2021,7.0,3.0,Deciduous woodland,DK,Anthracoidea pratensis (Syd.) Boidol & Poelt,Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Anthracoideaceae,Anthracoidea,pratensis,True,Anthracoidea pratensis,NE,fruits,54.963967,12.547588,75.0,3313865334,Sjælland,Vordingborg,0-3313865334.JPG,82,plant material,0,96.0,5.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/0-3313865334.JPG,23,False
45,2012-10-20,2012,10.0,20.0,Deciduous woodland,DK,Cortinarius serratissimus M.M.Moser,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,serratissimus,True,Cortinarius serratissimus,NE,soil,55.16758,11.71751,10.0,2238183992,Sjælland,Næstved,1-2238183992.JPG,547,jord,0,4.0,8.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/1-2238183992.JPG,0,False
46,2021-06-11,2021,6.0,11.0,garden,DK,Podosphaera macularis (Wallr.) U.Braun & S.Takam.,Fungi,Ascomycota,Leotiomycetes,Helotiales,Erysiphaceae,Podosphaera,macularis,True,Podosphaera macularis,NE,living leaves,55.787626,12.544447,25.0,3305982302,Hovedstaden,Lyngby-Taarbæk,2-3305982302.JPG,1772,plant material,0,61.0,5.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/2-3305982302.JPG,12,False
47,2020-09-27,2020,9.0,27.0,Thorny scrubland,DK,"Hymenoscyphus macroguttatus Baral, Declercq & Hengstm.",Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Hymenoscyphus,macroguttatus,True,Hymenoscyphus macroguttatus,NE,"stems of herbs, grass etc",54.570395,11.93975,25.0,2868469314,Sjælland,Guldborgsund,2-2868469314.JPG,1060,plant material,0,560.0,10.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/2-2868469314.JPG,12,False
48,2015-06-10,2015,6.0,10.0,heath,DK,Tranzschelia pulsatillae (Opiz) Dietel,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Tranzscheliaceae,Tranzschelia,pulsatillae,True,Tranzschelia pulsatillae,NE,"stems of herbs, grass etc",56.02102,11.99498,50.0,2238413484,Hovedstaden,Halsnæs,0-2238413484.JPG,2238,plant material,0,0.0,17.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/0-2238413484.JPG,19,False
49,2019-05-27,2019,5.0,27.0,park/churchyard,DK,Peronospora conglomerata Fuckel,Chromista,Oomycota,Peronosporea,Peronosporales,Peronosporaceae,Peronospora,conglomerata,True,Peronospora conglomerata,NE,"living stems of herbs, grass etc",55.555619,12.011282,10.0,2248039303,Sjælland,Roskilde,0-2248039303.JPG,1611,plant material,0,81.0,1.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/0-2248039303.JPG,17,False
50,2021-10-31,2021,10.0,31.0,Unmanaged deciduous woodland,GR,Hygrophorus pudorinus (Fr.) Fr.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrophorus,pudorinus,True,Hygrophorus pudorinus,NE,soil,39.675947,21.360958,75.0,3395918439,Thessaly and Central Greece,Thessaly,0-3395918439.JPG,1051,jord,0,596.0,12.0,mediterranean,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/0-3395918439.JPG,0,False
51,2019-04-22,2019,4.0,22.0,roadside,DK,Requienella fraxini Jaklitsch & Voglmayr,Fungi,Ascomycota,Eurotiomycetes,Pyrenulales,Requienellaceae,Requienella,fraxini,True,Requienella fraxini,NE,bark of living trees,56.085782,10.226115,25.0,2237861694,Midtjylland,Århus,3-2237861694.JPG,1953,wood,0,6.0,17.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/3-2237861694.JPG,7,False
52,2019-05-12,2019,5.0,12.0,fallow field,DK,Parmelina pastillifera (Harm.) Hale,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Parmelina,pastillifera,True,Parmelina pastillifera,NE,bark of living trees,56.620213,9.438217,10.0,2556150243,Midtjylland,Viborg,5-2556150243.JPG,1584,wood,0,51.0,14.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/5-2556150243.JPG,11,False
53,2021-05-20,2021,5.0,20.0,Unmanaged deciduous woodland,DK,Ochrolechia subviridis (Høeg) Erichsen,Fungi,Ascomycota,Lecanoromycetes,Pertusariales,Ochrolechiaceae,Ochrolechia,subviridis,True,Ochrolechia subviridis,NE,bark of living trees,56.282153,10.471344,75.0,3116988328,Midtjylland,Syddjurs,3-3116988328.JPG,1519,wood,0,0.0,17.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/3-3116988328.JPG,11,False
54,2020-10-10,2020,10.0,10.0,Deciduous woodland,DK,"Coprinopsis coniophora (Romagn.) Redhead, Vilgalys & Moncalvo",Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,coniophora,True,Coprinopsis coniophora,NE,dead wood (including bark),54.735439,11.577712,15.0,2981235374,Sjælland,Guldborgsund,1-2981235374.JPG,419,wood,0,628.0,5.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/1-2981235374.JPG,0,False
55,2021-10-31,2021,10.0,31.0,Unmanaged coniferous woodland,GR,Phlebia centrifuga P.Karst.,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Hermanssonia,centrifuga,True,Hermanssonia centrifuga,NE,dead wood (including bark),39.629205,21.342761,19.0,3399815396,Thessaly and Central Greece,Thessaly,1-3399815396.JPG,1662,wood,0,602.0,12.0,mediterranean,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/1-3399815396.JPG,0,False
56,2015-10-06,2015,10.0,6.0,bog,DK,Mycena terena Aronsen & Maas Geest.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Mycena,terena,True,Mycena terena,NE,leaf or needle litter,55.772642,8.182802,40.0,2238430625,Syddanmark,Varde,5-2238430625.JPG,1461,plant material,0,0.0,17.0,atlantic,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/5-2238430625.JPG,0,False
